file,classical_score,best_score,delta
P00734.npz,0.0666888888888889,0.14154074074074074,0.07485185185185185
P01009.npz,0.08654814814814817,0.14248888888888886,0.055940740740740694
P01308.npz,0.07617777777777776,0.13466666666666666,0.058488888888888896
P04637.npz,0.11534074074074074,0.14257037037037035,0.027229629629629604
P0A8T7.npz,0.09097037037037037,0.14345185185185186,0.05248148148148149
P35579.npz,0.09376296296296296,0.142,0.04823703703703702
P38398.npz,0.09004444444444443,0.14296296296296293,0.052918518518518504
P68871.npz,0.08178518518518518,0.13877037037037035,0.056985185185185167
P69905.npz,0.07032592592592593,0.14194814814814813,0.0716222222222222
sampleA.npz,0.09148888888888887,0.14163703703703703,0.050148148148148164
sampleB.npz,0.10420740740740742,0.14453333333333335,0.04032592592592593
sampleC.npz,0.08113333333333332,0.1462074074074074,0.06507407407407408
